PhotoID,Depth,PhotoArea,Year
CA2018_110_01,110,0.86,2018
CA2018_110_02,110,1.051,2018
CA2018_110_03,110,0.863,2018
CA2018_110_04,110,0.651,2018
CA2018_110_05,110,1.493,2018
CA2018_110_06,110,1.478,2018
CA2018_110_07,110,1.591,2018
CA2018_110_08,110,1.145,2018
CA2018_130_01,130,2.341,2018
CA2018_130_02,130,1.923,2018
CA2018_130_03,130,1.226,2018
CA2018_130_04,130,3.42,2018
CA2018_130_05,130,3.673,2018
CA2018_130_06,130,1.064,2018
CA2018_130_07,130,1.779,2018
CA2018_130_08,130,2.086,2018
CA2018_140_01,140,2.489,2018
CA2018_140_02,140,2.904,2018
CA2018_140_03,140,2.991,2018
CA2018_140_04,140,3.149,2018
CA2018_140_05,140,4.546,2018
CA2018_140_06,140,3.128,2018
CA2018_140_07,140,1.97,2018
CA2018_140_08,140,3.56,2018
CA2018_140_09,140,2.446,2018
CA2018_140_10,140,2.159,2018
CA2018_140_11,140,2.032,2018
CA2018_150_01,150,2.523,2018
CA2018_150_02,150,1.397,2018
CA2018_150_03,150,0.979,2018
CA2018_150_04,150,1.694,2018
CA2018_150_05,150,2.08,2018
CA2018_150_06,150,2.165,2018
CA2018_150_07,150,3.35,2018
CA2018_150_08,150,2.782,2018
CA2018_150_09,150,2.383,2018
CA2018_150_10,150,1.575,2018
CA2018_160_01,160,1.023,2018
CA2018_160_02,160,1.571,2018
CA2018_160_03,160,0.694,2018
CA2018_160_04,160,1.898,2018
CA2018_160_05,160,1.783,2018
CA2018_160_06,160,1.94,2018
CA2018_160_07,160,1.33,2018
CA2018_160_08,160,0.949,2018
CA2018_160_09,160,1.547,2018
CA2018_160_10,160,1.653,2018
CA2018_170_01,170,1.714,2018
CA2018_170_02,170,2.267,2018
CA2018_170_03,170,2.533,2018
CA2018_170_04,170,3.1,2018
CA2018_180_01,180,2.835,2018
CA2018_180_02,180,2.114,2018
CA2018_180_03,180,2.174,2018
CA2018_180_04,180,1.759,2018
CA2018_180_05,180,3.763,2018
CA2018_180_06,180,1.832,2018
CA2018_180_07,180,2.244,2018
CA2018_190_01,190,1.638,2018
CA2018_190_02,190,2.151,2018
CA2018_190_03,190,2.012,2018
CA2018_190_04,190,4.076,2018
CA2018_190_05,190,2.801,2018
CA2018_190_06,190,2.33,2018
CA2018_190_07,190,1.721,2018
CA2018_190_08,190,1.503,2018
CA2018_190_09,190,2.988,2018
CA2018_200_01,200,1.938,2018
CA2018_200_02,200,4.123,2018
CA2018_200_03,200,3.005,2018
CA2018_200_04,200,3.536,2018
CA2018_200_05,200,3.511,2018
CA2018_200_06,200,4.231,2018
CA2018_200_07,200,5.967,2018
CA2018_200_08,200,4.187,2018
CA2018_200_09,200,3.645,2018
CA2018_200_10,200,1.481,2018
CA2018_210_01,210,0.712,2018
CA2018_210_02,210,1.221,2018
CA2018_210_03,210,3.23,2018
CA2018_220_01,220,0.542,2018
CA2018_230_01,230,0.623,2018
CA2018_230_02,230,1.071,2018
CA2018_230_03,230,1.422,2018
CA2018_240_01,240,1.947,2018
CA2018_240_02,240,1.682,2018
CA2018_240_03,240,0.37,2018
CA2018_240_04,240,2.65,2018
CA2018_240_05,240,2.106,2018
CA2018_240_06,240,3.755,2018
CA2018_250_01,250,0.554,2018
CA2018_260_01,260,0.974,2018
CA2018_260_02,260,1.45,2018
CA2018_260_03,260,1.956,2018
CA2018_270_01,270,3.144,2018
CA2018_270_02,270,2.797,2018
CA2018_270_03,270,0.816,2018
CA2018_280_01,270,1.139,2018
CA2018_280_02,280,1.133,2018
CA2018_280_03,280,2.808,2018
CA2018_290_01,290,0.672,2018
CA2018_290_02,290,4.46,2018
CA2018_290_03,290,3.886,2018
CA2018_300_01,300,0.815,2018
CA2018_300_02,300,1.402,2018
CA2018_310_01,310,2.026,2018
CA2018_310_02,310,1.726,2018
CA2018_310_03,310,0.749,2018
CA2018_320_01,320,1.738,2018
CA2018_320_02,320,1.551,2018
CA2018_320_03,320,0.686,2018
CA2018_330_01,330,1.3,2018
CA2018_330_02,330,1.879,2018
CA2018_330_03,330,1.244,2018
