"PhotoID","Depth","PhotoArea","Year","Depth_flag","PhotoArea_flag"
"CA1968_110_01",110,0.86,1968,NA,NA
"CA1968_110_02",110,1.051,1968,NA,NA
"CA1968_110_03",110,0.863,1968,NA,NA
"CA1968_110_04",110,0.651,1968,NA,NA
"CA1968_110_05",110,1.493,1968,NA,"I"
"CA1968_110_06",110,1.478,1968,NA,NA
"CA1968_110_07",110,1.591,1968,NA,NA
"CA1968_110_08",110,1.145,1968,"H",NA
"CA1968_130_01",130,2.341,1968,"G",NA
"CA1968_130_02",130,1.923,1968,NA,NA
"CA1968_130_03",130,1.226,1968,NA,NA
"CA1968_130_04",130,3.42,1968,NA,NA
"CA1968_130_05",130,3.673,1968,NA,NA
"CA1968_130_06",130,1.064,1968,NA,NA
"CA1968_130_07",130,1.779,1968,NA,NA
"CA1968_130_08",130,2.086,1968,NA,NA
"CA1968_140_01",140,2.489,1968,NA,NA
"CA1968_140_02",140,2.904,1968,NA,NA
"CA1968_140_03",140,2.991,1968,NA,NA
"CA1968_140_04",140,3.149,1968,NA,NA
"CA1968_140_05",140,4.546,1968,NA,NA
"CA1968_140_06",140,3.128,1968,NA,NA
"CA1968_140_07",140,1.97,1968,NA,NA
"CA1968_140_08",140,3.56,1968,NA,NA
"CA1968_140_09",140,2.446,1968,NA,"I"
"CA1968_140_10",140,2.159,1968,NA,NA
"CA1968_140_11",140,2.032,1968,"G","J"
"CA1968_150_01",150,2.523,1968,NA,NA
"CA1968_150_02",150,1.397,1968,NA,NA
"CA1968_150_03",150,0.979,1968,NA,NA
"CA1968_150_04",150,1.694,1968,NA,NA
"CA1968_150_05",150,2.08,1968,"H",NA
"CA1968_150_06",150,2.165,1968,NA,NA
"CA1968_150_07",150,3.35,1968,NA,NA
"CA1968_150_08",150,2.782,1968,NA,NA
"CA1968_150_09",150,2.383,1968,NA,NA
"CA1968_150_10",150,1.575,1968,NA,NA
"CA1968_160_01",160,1.023,1968,NA,NA
"CA1968_160_02",160,1.571,1968,NA,NA
"CA1968_160_03",160,0.694,1968,NA,NA
"CA1968_160_04",160,1.898,1968,NA,NA
"CA1968_160_05",160,1.783,1968,NA,NA
"CA1968_160_06",160,1.94,1968,NA,NA
