PhotoID,Depth,PhotoArea,Year
CA2010_110_01,110,0.86,2010
CA2010_110_02,110,1.051,2010
CA2010_110_03,110,0.863,2010
CA2010_110_04,110,0.651,2010
CA2010_110_05,110,1.493,2010
CA2010_110_06,110,1.478,2010
CA2010_110_07,110,1.591,2010
CA2010_110_08,110,1.145,2010
CA2010_130_01,130,2.341,2010
CA2010_130_02,130,1.923,2010
CA2010_130_03,130,1.226,2010
CA2010_130_04,130,3.42,2010
CA2010_130_05,130,3.673,2010
CA2010_130_06,130,1.064,2010
CA2010_130_07,130,1.779,2010
CA2010_130_08,130,2.086,2010
CA2010_140_01,140,2.489,2010
CA2010_140_02,140,2.904,2010
CA2010_140_03,140,2.991,2010
CA2010_140_04,140,3.149,2010
CA2010_140_05,140,4.546,2010
CA2010_140_06,140,3.128,2010
CA2010_140_07,140,1.97,2010
CA2010_140_08,140,3.56,2010
CA2010_140_09,140,2.446,2010
CA2010_140_10,140,2.159,2010
CA2010_140_11,140,2.032,2010
CA2010_150_01,150,2.523,2010
CA2010_150_02,150,1.397,2010
CA2010_150_03,150,0.979,2010
CA2010_150_04,150,1.694,2010
CA2010_150_05,150,2.08,2010
CA2010_150_06,150,2.165,2010
CA2010_150_07,150,3.35,2010
CA2010_150_08,150,2.782,2010
CA2010_150_09,150,2.383,2010
CA2010_150_10,150,1.575,2010
CA2010_160_01,160,1.023,2010
CA2010_160_02,160,1.571,2010
CA2010_160_03,160,0.694,2010
CA2010_160_04,160,1.898,2010
CA2010_160_05,160,1.783,2010
CA2010_160_06,160,1.94,2010
CA2010_160_07,160,1.33,2010
CA2010_160_08,160,0.949,2010
CA2010_160_09,160,1.547,2010
CA2010_160_10,160,1.653,2010
CA2010_170_01,170,1.714,2010
CA2010_170_02,170,2.267,2010
CA2010_170_03,170,2.533,2010
CA2010_170_04,170,3.1,2010
CA2010_180_01,180,2.835,2010
CA2010_180_02,180,2.114,2010
CA2010_180_03,180,2.174,2010
CA2010_180_04,180,1.759,2010
CA2010_180_05,180,3.763,2010
CA2010_180_06,180,1.832,2010
CA2010_180_07,180,2.244,2010
CA2010_190_01,190,1.638,2010
CA2010_190_02,190,2.151,2010
CA2010_190_03,190,2.012,2010
CA2010_190_04,190,4.076,2010
CA2010_190_05,190,2.801,2010
CA2010_190_06,190,2.33,2010
CA2010_190_07,190,1.721,2010
CA2010_190_08,190,1.503,2010
CA2010_190_09,190,2.988,2010
CA2010_200_01,200,1.938,2010
CA2010_200_02,200,4.123,2010
CA2010_200_03,200,3.005,2010
CA2010_200_04,200,3.536,2010
CA2010_200_05,200,3.511,2010
CA2010_200_06,200,4.231,2010
CA2010_200_07,200,5.967,2010
CA2010_200_08,200,4.187,2010
CA2010_200_09,200,3.645,2010
CA2010_200_10,200,1.481,2010
CA2010_210_01,210,0.712,2010
CA2010_210_02,210,1.221,2010
CA2010_210_03,210,3.23,2010
CA2010_220_01,220,0.542,2010
CA2010_230_01,230,0.623,2010
CA2010_230_02,230,1.071,2010
CA2010_230_03,230,1.422,2010
CA2010_240_01,240,1.947,2010
CA2010_240_02,240,1.682,2010
CA2010_240_03,240,0.37,2010
CA2010_240_04,240,2.65,2010
CA2010_240_05,240,2.106,2010
CA2010_240_06,240,3.755,2010
CA2010_250_01,250,0.554,2010
CA2010_260_01,260,0.974,2010
CA2010_260_02,260,1.45,2010
CA2010_260_03,260,1.956,2010
CA2010_270_01,270,3.144,2010
CA2010_270_02,270,2.797,2010
CA2010_270_03,270,0.816,2010
CA2010_280_01,270,1.139,2010
CA2010_280_02,280,1.133,2010
CA2010_280_03,280,2.808,2010
CA2010_290_01,290,0.672,2010
CA2010_290_02,290,4.46,2010
CA2010_290_03,290,3.886,2010
CA2010_300_01,300,0.815,2010
CA2010_300_02,300,1.402,2010
CA2010_310_01,310,2.026,2010
CA2010_310_02,310,1.726,2010
CA2010_310_03,310,0.749,2010
CA2010_320_01,320,1.738,2010
CA2010_320_02,320,1.551,2010
CA2010_320_03,320,0.686,2010
CA2010_330_01,330,1.3,2010
CA2010_330_02,330,1.879,2010
CA2010_330_03,330,1.244,2010
